energy,danceability,liveness,valence,acousticness,speechiness,track_name,artist_name,rating
0.104,0.498,0.0895,0.205,0.979,0.0621,when the party's over,Billie Eilish,3.19
0.237,0.753,0.107,0.474,0.742,0.246,8,Billie Eilish,3.19
0.311,0.938,0.104,0.557,0.387,0.376,my strange addiction,Billie Eilish,3.19
0.395,0.888,0.106,0.162,0.752,0.324,bury a friend,Billie Eilish,3.19
0.425,0.86,0.0909,0.564,0.708,0.0573,ilomilo,Billie Eilish,3.19
0.0549,0.364,0.3339999999999999,0.0784,0.934,0.0435,listen before i go,Billie Eilish,3.19
0.123,0.423,0.11,0.0972,0.955,0.0391,i love you,Billie Eilish,3.19
0.149,0.152,0.244,0.0484,0.856,0.0516,goodbye,Billie Eilish,3.19
94.0,67.0,15.0,78.0,0.0,5.0,Give It Away,Red Hot Chili Peppers,3.6
35.0,56.0,14.0,46.0,6.0,5.0,Under the Bridge,Red Hot Chili Peppers,3.6
93.0,40.0,9.0,73.0,0.0,6.0,How Soon Is Now? - 2011 Remaster,The Smiths,4.08
81.0,65.0,14.0,82.0,0.0,3.0,Fluorescent Adolescent,Arctic Monkeys,3.54
53.0,55.0,22.0,41.0,19.0,3.0,Do I Wanna Know?,Arctic Monkeys,3.03
80.0,45.0,11.0,25.0,0.0,5.0,Bliss,Muse,3.62
97.0,41.0,11.0,35.0,0.0,5.0,Plug in Baby,Muse,3.62
42.0,35.0,10.0,27.0,30.0,3.0,Feeling Good,Muse,3.62
0.789,0.487,0.1889999999999999,0.0564,0.00947,0.044,STARGAZING,Travis Scott,3.32
0.4029999999999999,0.428,0.22,0.133,0.2289999999999999,0.209,CAROUSEL,Travis Scott,3.32
0.73,0.8340000000000001,0.124,0.446,0.00513,0.222,SICKO MODE,Travis Scott,3.32
0.609,0.607,0.111,0.556,0.389,0.291,R.I.P. SCREW,Travis Scott,3.32
0.5670000000000001,0.588,0.135,0.113,0.221,0.0628,STOP TRYING TO BE GOD,Travis Scott,3.32
0.8109999999999999,0.731,0.411,0.426,0.0204,0.0712,NO BYSTANDERS,Travis Scott,3.32
0.6859999999999999,0.46,0.375,0.252,0.00146,0.0367,SKELETONS,Travis Scott,3.32
0.645,0.741,0.163,0.488,0.192,0.0963,WAKE UP,Travis Scott,3.32
0.481,0.7120000000000001,0.241,0.062,0.173,0.0487,5% TINT,Travis Scott,3.32
0.763,0.804,0.368,0.0585,0.0678,0.0519,NC-17,Travis Scott,3.32
0.46,0.7,0.111,0.286,0.142,0.0661,ASTROTHUNDER,Travis Scott,3.32
0.5539999999999999,0.785,0.1159999999999999,0.144,0.283,0.0409,YOSEMITE,Travis Scott,3.32
0.708,0.7020000000000001,0.118,0.713,0.201,0.0547,CAN'T SAY,Travis Scott,3.32
0.731,0.8340000000000001,0.0731,0.6809999999999999,0.0462,0.0566,WHO? WHAT!,Travis Scott,3.32
0.628,0.763,0.114,0.193,0.0531,0.05,BUTTERFLY EFFECT,Travis Scott,3.32
0.723,0.6890000000000001,0.158,0.288,0.0985,0.0836,HOUSTONFORNICATION,Travis Scott,3.32
0.5820000000000001,0.81,0.207,0.503,0.0862,0.125,COFFEE BEAN,Travis Scott,3.32
59.0,56.0,4.0,97.0,6.0,3.0,Love Her Madly,The Doors,3.89
73.0,35.0,12.0,70.0,8.0,4.0,L.A. Woman,The Doors,3.89
72.0,55.0,11.0,72.0,25.0,3.0,Riders on the Storm,The Doors,3.89
58.0,65.0,12.0,74.0,41.0,4.0,Eight Days A Week - Remastered 2009,The Beatles,3.23
