energy,danceability,liveness,valence,acousticness,speechiness,track_name,artist_name,rating
0.405,0.938,0.147,0.493,0.249,0.354,Jeri Curl,Cam O'bi,-1
0.787,0.7170000000000001,0.106,0.42,0.0352,0.0657,Leave It Smokin’,Tamia,-1
0.2789999999999999,0.505,0.235,0.821,0.765,0.0327,"Concerto for Strings in F Major, RV 142: III. Allegro molto",Antonio Vivaldi,-1
0.875,0.878,0.145,0.902,0.148,0.0453,Canalla,Romeo Santos,-1
0.962,0.48,0.423,0.6579999999999999,0.0059299999999999,0.183,Grateful (Neon Feather Remix),Cade Thompson,-1
0.00646,0.162,0.139,0.0316,0.913,0.035,Soft Music for Sleep and Binaural Beats,Sleeping Music Experience,-1
0.988,0.214,0.198,0.0408,7.53e-06,0.237,"I, God",Mors Subita,-1
0.127,0.504,0.0683,0.614,0.978,0.0453,"Orchestral Suite No. 1 in C Major, BWV 1066: III. Gavottes I & II",Johann Sebastian Bach,-1
0.945,0.654,0.105,0.0824,0.0003819999999999,0.032,PROGRESSO,Alesso,-1
0.653,0.599,0.111,0.11,0.00463,0.0435,So Long,Sunny Lax,-1
0.313,0.705,0.0856,0.302,0.00976,0.179,Japanese Women,Smoothie Beats,-1
0.2189999999999999,0.362,0.1119999999999999,0.2689999999999999,0.835,0.0302,By Example,Jeremy Passion,-1
0.769,0.695,0.0668,0.82,0.000642,0.0405,BBoom BBoom - Instrumental version,MOMOLAND,-1
0.526,0.2019999999999999,0.0565,0.0356,0.00921,0.0656,Aquarius,Xan Griffin,-1
0.742,0.4629999999999999,0.3379999999999999,0.49,0.718,0.266,Ivy League,Geechie Billions,-1
0.916,0.44,0.0897,0.401,0.000236,0.266,When Legends Rise,Godsmack,-1
0.7759999999999999,0.757,0.0631,0.916,0.0451,0.0352,Heat - Luke Solomon Remix,Kelly Clarkson,-1
0.307,0.595,0.225,0.467,0.953,0.0304,"Overworld (From ""Super Mario Land"")",The Marcus Hedges Trend Orchestra,-1
0.698,0.804,0.142,0.865,0.0368,0.0712,Stargirl,Elektroman,-1
0.507,0.569,0.122,0.941,0.975,0.0449,"The Nutcracker, Ballet Suite, Op. 71a: IV. Russian Dance (Trepak)",Pyotr Ilyich Tchaikovsky,-1
0.622,0.7859999999999999,0.369,0.402,0.0623,0.364,Jelly Fishing,Joey Trap,-1
0.919,0.632,0.287,0.355,0.0962,0.035,Man,BØRNS,-1
0.935,0.484,0.415,0.0683,0.0163,0.0448,Festiwall,Sasver,-1
0.657,0.54,0.121,0.5379999999999999,0.1009999999999999,0.0373,Crash into Me,Dave Matthews Band,-1
0.604,0.809,0.0524,0.713,4.36e-05,0.0874,Bulk - Original mix,Gladiator Osman,-1
0.469,0.779,0.0496,0.406,0.0597,0.303,All That I Can,Mogli the Iceburg,-1
0.424,0.831,0.132,0.148,0.0812,0.055,Mortimer,Wavy Jone$,-1
0.838,0.774,0.3329999999999999,0.741,0.135,0.0317,Todo Poderoso,Claudina Brinn,-1
0.923,0.5710000000000001,0.968,0.701,0.0014199999999999,0.0497,Outta Style - Live,Aaron Watson,-1
0.0832,0.211,0.067,0.0627,0.938,0.0409999999999999,Morning Rises,Alex Couture,-1
0.0924,0.665,0.113,0.679,0.752,0.0612,our little pond,mommy,-1
0.611,0.545,0.242,0.336,0.502,0.0428,Young Wild n Free,Chris Wallem,-1
0.8029999999999999,0.573,0.26,0.561,0.291,0.405,Not Impressive,Mozzy,-1
0.466,0.782,0.0881,0.3929999999999999,0.124,0.1119999999999999,Fire,Wantigga,-1
0.616,0.67,0.126,0.835,0.00261,0.054,Drinker,Big Evil Toes,-1
0.718,0.632,0.919,0.573,0.102,0.111,High Enough (Radio Mix) [feat. Propaganda],The Gray Havens,-1
0.86,0.512,0.0968,0.366,0.0492,0.0604,I Refuse,Five Finger Death Punch,-1
50.0,27.0,10.0,13.0,28.0,3.0,De Bestemming,Marco Borsato,-1
0.539,0.528,0.467,0.513,0.13,0.176,Pressentimento,Mc Livinho,-1
0.66,0.44,0.276,0.346,0.208,0.285,Closer - Nick Peters Remix,JP Cooper,-1
0.183,0.943,0.111,0.0357,0.00869,0.142,"Illuminati Diss, Pt. 2",7j2music,-1
0.926,0.609,0.309,0.6559999999999999,0.0338,0.0459,Who You Are (feat. MIO) - Billon Remix,Syn Cole,-1
0.73,0.7659999999999999,0.0799,0.41,0.000197,0.0405,Charlotte All The Time,!!!,-1
0.765,0.3429999999999999,0.065,0.619,0.00149,0.0465,I See You,The Bones of J.R. Jones,-1
0.936,0.546,0.155,0.589,0.0241,0.0564,イメージセンリャク,Gesu No Kiwami Otome,-1
0.68,0.56,0.0813,0.509,0.0356,0.035,Alive In Us,Joel Vaughn,-1
0.8320000000000001,0.374,0.0859,0.3229999999999999,2.62e-05,0.0411,Wasted Tears,Marty Friedman,-1
0.376,0.787,0.109,0.255,0.287,0.608,Narcissist,Dev the Follower,-1
0.524,0.268,0.0731,0.152,0.00109,0.052,So What is This? - Audiotree Live Version,L.A. Salami,-1
0.508,0.51,0.089,0.471,0.367,0.0298,There Is an Everlasting Song,Belle & Sebastian,-1
0.5770000000000001,0.78,0.0951,0.087,0.0321,0.326,Numeri & Zeri,Vegas Jones,-1
0.7829999999999999,0.713,0.134,0.758,0.168,0.308,Let's Do It Let's Go (feat. Slim Dunkin),Waka Flocka Flame,-1
0.77,0.5720000000000001,0.0602,0.381,0.00491,0.0345,Amaranth - Remastered,Nightwish,-1
0.8390000000000001,0.913,0.358,0.748,0.0435,0.0832,El Bote De Cerveza,Super Lamas,-1
0.967,0.696,0.3979999999999999,0.887,0.113,0.122,Choye Choye,Gunjan Singh,-1
0.0701,0.263,0.134,0.293,0.985,0.052,ピアノとヴァイオリンのためのソナタ ハ長調 K.404 I. Andante,Wolfgang Amadeus Mozart,-1
0.337,0.573,0.138,0.181,0.971,0.0389,Welcome Mat - Original Mix,Michael Wheeler,-1
0.41,0.732,0.109,0.6579999999999999,0.87,0.0814,Stoner's Caravan,Weedthief,-1
0.0771,0.139,0.252,0.0317,0.925,0.0377,"Chromatic Fantasia & Fugue in D Minor, BWV 903 (Arr. M. Reger for Organ): I. Fantasia",Johann Sebastian Bach,-1
0.569,0.6579999999999999,0.1119999999999999,0.485,0.2019999999999999,0.282,Darkskin Debarge,T-Pain,-1
0.911,0.7070000000000001,0.171,0.949,0.3389999999999999,0.261,Its All Been Done,DJ C Roc,-1
0.818,0.304,0.114,0.5670000000000001,0.0925,0.31,Bed Spring King,Roc Marciano,-1
0.7340000000000001,0.626,0.308,0.22,1.12e-05,0.0321,Revolt,Jaeger,-1
0.0288,0.421,0.1169999999999999,0.628,0.993,0.0402,No Time to Blink,Holly Dante,-1
